YearsExperience,EducationLevel,City,Salary
4.5,大學,城市C,56.3
8.2,大學,城市A,53.2
5.7,大學,城市A,45.6
7.3,碩士以上,城市C,72.8
2.9,大學,城市A,40.5
6.4,碩士以上,城市A,67.4
3.6,碩士以上,城市C,51.7
1.8,大學,城市A,39.2
7.1,碩士以上,城市C,75.6
2.3,碩士以上,城市C,41.8
4.8,碩士以上,城市C,50.3
9.2,大學,城市A,58.7
6.6,碩士以上,城市A,72.5
5.4,碩士以上,城市A,62.8
1.7,大學,城市A,36.5
8.5,大學,城市B,53.7
3.2,高中以下,城市C,28.6
6.1,碩士以上,城市C,64.1
4.9,大學,城市B,44.9
2.6,碩士以上,城市A,42.3
5.2,大學,城市C,46.7
3.7,大學,城市A,48.9
8.9,碩士以上,城市A,68.2
1.5,大學,城市A,34.7
7.4,大學,城市B,48.2
6,大學,城市C,51.1
4.3,碩士以上,城市A,50.8
9.7,碩士以上,城市C,76.3
2.1,大學,城市B,41.5
7.8,碩士以上,城市B,59.2
5.9,大學,城市B,47.3
3.4,大學,城市C,52.4
8.1,大學,城市C,50.1
6.7,碩士以上,城市B,54.9
5,大學,城市A,44.3
1.6,碩士以上,城市C,38.5
7,碩士以上,城市B,57.1
4.5,碩士以上,城市C,54.6
9,碩士以上,城市B,61.3
2.4,大學,城市B,42.8
5.5,大學,城市B,49.7
3.1,大學,城市A,46.8
8.7,碩士以上,城市A,76.9
6.3,大學,城市C,47.2
4,碩士以上,城市A,57.3
1.2,碩士以上,城市A,35.6
7.9,大學,城市C,55.4
6.5,大學,城市A,55.6
3.8,大學,城市B,46.1
8.4,大學,城市A,52.3
2,大學,城市C,40.7
5.3,碩士以上,城市A,63.2
3.3,碩士以上,城市A,53.7
9.5,大學,城市C,59.8
1.9,大學,城市B,39.2
8,大學,城市C,50.6
6.2,大學,城市C,48.3
4.7,大學,城市A,46.2
2.2,碩士以上,城市B,36.5
5.6,碩士以上,城市C,58.7
3.5,大學,城市C,49.4
8.6,大學,城市A,51.2
1.3,碩士以上,城市C,40.8
7.7,碩士以上,城市A,69.1
6.4,碩士以上,城市C,63.6
4.1,大學,城市A,45.9
9.6,碩士以上,城市B,59.3
2.8,碩士以上,城市A,41.2
5.1,碩士以上,城市C,56.7
3.6,大學,城市B,44.3
8.3,大學,城市C,52.5
1.1,大學,城市C,37.9
7.6,碩士以上,城市A,74.8
6.1,大學,城市A,53.6
4.6,大學,城市C,49.1
2.3,碩士以上,城市C,41.6
5.8,大學,城市B,47.2
3.4,大學,城市A,50.1
8.9,碩士以上,城市A,69.7
1.4,碩士以上,城市A,35.1
7.1,大學,城市C,53.7
5.6,大學,城市A,49.6
2.9,大學,城市C,41.4
6.4,碩士以上,城市B,52.6
4.8,大學,城市C,49.8
1.5,碩士以上,城市A,38.2
7.8,碩士以上,城市C,69.4
6.3,碩士以上,城市C,59.2
3.9,大學,城市B,45.7
9.2,大學,城市A,63.1
5.7,碩士以上,城市B,50.9
2.4,碩士以上,城市C,45.6
8.5,碩士以上,城市C,65.3
6,大學,城市A,51.8
4.3,碩士以上,城市C,53.2
1.8,大學,城市B,40.5
7.5,大學,城市A,51.7
5,大學,城市C,47.9
2.1,碩士以上,城市C,37.1
9.1,大學,城市C,56.4
6.6,碩士以上,城市A,74.2
4.1,碩士以上,城市A,54.9
1.6,大學,城市B,34.2
8.2,碩士以上,城市B,55.7
7,大學,城市C,54.8
3.5,大學,城市A,51.3
9.9,大學,城市B,57.4
2,碩士以上,城市A,38.4
5.5,碩士以上,城市A,63.4
3,大學,城市B,45.4
8.7,碩士以上,城市B,56.3
6.2,大學,城市C,48.7
4.7,大學,城市A,47.1
1.2,碩士以上,城市A,35.9
7.9,碩士以上,城市C,76.1
6.5,大學,城市A,53.1
4,大學,城市C,51.9
9.6,大學,城市B,58.2
1.1,大學,城市A,33.8
7.4,碩士以上,城市B,57.3
5.9,大學,城市C,48.9
3.4,碩士以上,城市A,52.6
8.1,大學,城市A,55.3
6.7,碩士以上,城市B,52.3
4.2,碩士以上,城市A,53.6
1.9,大學,城市C,38.7
7.6,碩士以上,城市C,68.9
5.1,大學,城市C,49.3
2.6,碩士以上,城市B,33.1
8.3,大學,城市A,53.4
6.8,碩士以上,城市C,63.4
4.3,大學,城市C,48.6
9.8,碩士以上,城市C,76.7
1.4,碩士以上,城市C,38.9
8,大學,城市A,55.7